Config,Method,N_tokens,FLOPs (M),GFLOPs,Params (K),Energy (µJ),vs WMMSE FLOPs,vs WMMSE Energy,vs ZF FLOPs
8x4 (Current),ZF,72,2.107,0.002107,0.0,0.0083,874.3×,418.3×,1.0×
8x4 (Current),RZF,72,2.111,0.002111,0.0,0.0083,872.6×,417.9×,1.0×
8x4 (Current),WMMSE (I=10),72,1842.463,1.842463,0.0,3.4754,1.0×,1.0×,874.3×
8x4 (Current),Transformer Full-SC (N=72),72,9165.865,9.165865,1065.6,17.9164,0.2×,0.2×,4349.4×
8x4 (Current),TransformerV3  1 tok/RB  (N=6),6,756.941,0.756941,1086.5,1.5322,2.4×,2.3×,359.2×
8x4 (Current),TransformerV3  2 tok/RB  (N=12),12,1497.367,1.497367,1086.5,2.979,1.2×,1.2×,710.5×
8x4 (Current),TransformerV3  3 tok/RB  (N=18),18,2246.05,2.24605,1086.5,4.4416,0.8×,0.8×,1065.8×
32x4 (Massive MIMO),ZF,72,7.526,0.007526,0.0,0.0272,7992.0×,4167.8×,1.0×
32x4 (Massive MIMO),RZF,72,7.53,0.00753,0.0,0.0272,7987.7×,4166.7×,1.0×
32x4 (Massive MIMO),WMMSE (I=10),72,60150.989,60.150989,0.0,113.332,1.0×,1.0×,7992.0×
32x4 (Massive MIMO),Transformer Full-SC (N=72),72,9413.591,9.413591,1096.4,18.3877,6.4×,6.2×,1250.7×
32x4 (Massive MIMO),TransformerV3  1 tok/RB  (N=6),6,884.933,0.884933,1166.5,1.9173,68.0×,59.1×,117.6×
32x4 (Massive MIMO),TransformerV3  2 tok/RB  (N=12),12,1679.032,1.679032,1166.5,3.4656,35.8×,32.7×,223.1×
32x4 (Massive MIMO),TransformerV3  3 tok/RB  (N=18),18,2481.39,2.48139,1166.5,5.0297,24.2×,22.5×,329.7×
